Ekstrawersja;Neurotyzm;Otwartosc
26.1;43.8;20.5
23.2;44.9;22.7
22.0;46.5;20.9
32.6;36.0;18.7
23.5;46.6;20.5
25.1;34.6;13.8
22.2;43.9;15.4
33.7;40.5;19.1
28.7;43.0;20.1
19.1;49.3;13.9
30.3;41.7;17.9
23.3;42.3;20.9
29.5;38.5;17.7
18.5;46.7;17.2
23.7;40.9;14.7
28.6;40.2;21.3
25.8;40.3;20.5
15.1;51.8;19.4
20.7;50.7;14.6
22.0;44.3;18.1
26.0;35.8;22.2
14.2;54.2;18.2
13.1;48.3;16.8
24.7;43.5;15.5
12.7;57.0;16.0
17.9;47.9;9.7
32.0;36.1;21.2
24.7;37.2;15.3
26.2;41.4;16.5
16.7;45.5;14.9
22.4;43.6;16.5
23.3;43.9;19.5
25.7;36.5;21.5
28.1;38.3;16.6
32.5;38.2;22.1
33.7;38.7;21.6
21.7;39.2;18.7
23.9;45.2;23.6
21.7;48.4;19.7
21.0;45.9;13.7
28.9;43.8;19.8
24.8;50.0;20.3
18.9;52.4;18.4
24.7;44.3;21.3
28.9;36.1;21.0
